Source,Target
Goa@LOC,Holland@LOC
Goa@LOC,Aphrica@LOC
Goa@LOC,Jaren@PER
Goa@LOC,Hans Dieterich@PER
Goa@LOC,Portugal@LOC
Goa@LOC,China@LOC
Goa@LOC,Hans Jsrael@PER
Goa@LOC,Holchteutsch@LOC
Goa@LOC,Jetzo@PER
Goa@LOC,Joan Hugo@PER
Goa@LOC,Jar@LOC
Neyperg@LOC,Kärnttn@LOC
Aegypten@LOC,Johan@PER
Aegypten@LOC,Kurtzer@PER
Aegypten@LOC,Leipzig@LOC
Aegypten@LOC,Venedig@LOC
Aegypten@LOC,Sinai Alcair Alexandria@LOC
Aegypten@LOC,Hierusalem@LOC
bey Pleymeuten Cartsag@PER,S. Domingo@PER
bey Pleymeuten Cartsag@PER,Franciscus Dracus@PER
bey Pleymeuten Cartsag@PER,Calis Malis@LOC
bey Pleymeuten Cartsag@PER,Franciscus Dracus Redivivvs@PER
bey Pleymeuten Cartsag@PER,Kurtze@PER
bey Pleymeuten Cartsag@PER,Jnsul Cuba@PER
bey Pleymeuten Cartsag@PER,Florida@LOC
Zwo@PER,Cartas de relación de la conquista de la Nueva España@PER
Zwo@PER,Friaul@LOC
Zwo@PER,Hispanien@LOC
Zwo@PER,Peter Sauorgnan@PER
Zwo@PER,Herrn Herrn Ferdinanden Römischen@LOC
Zwo@PER,Hispanischer Sprach von Cortesio@PER
Zwo@PER,Tittel@PER
Zwo@PER,Darzů@PER
Zwo@PER,Carlos V.@PER
Zwo@PER,Xysto Betuleio@PER
Zwo@PER,Jar@LOC
Zwo@PER,Temixtitan@LOC
Zwo@PER,Ferdinandi Cortesii@PER
Zwo@PER,Andrea Diethero@PER
Zwo@PER,Carolvm@PER
Zwo@PER,Hochteütsche@LOC
Atabalibam@PER,Benzo von Meylandt@PER
Atabalibam@PER,Dieterich@PER
Jerusalem@LOC,bißhero@PER
Jerusalem@LOC,Horeb Sinay@PER
Jerusalem@LOC,Bergen Auwen@LOC
Jerusalem@LOC,vnd Heyland Christus@PER
Jerusalem@LOC,Ceremonien@LOC
Jerusalem@LOC,Terrae Sanctae@LOC
Jerusalem@LOC,Felix Fabri@PER
Jerusalem@LOC,Glaubenssachen@LOC
Samatra@LOC,Holland@LOC
Samatra@LOC,Texel@LOC
Samatra@LOC,Gilissy@LOC
