Systemnummer,Locations,Persons
AC09974246,"Martio;Orientalischen Indien;Oost Indien",""
AC09974253,"Hochteutsche;Martio Alda;Oost Indien","Kurtze"
AC09974254,"Americam","Levinvm Hvlsivm;Schmidel;Schmidel von Straubing von Anno"
AC11085738,"Engelland;Jar;Virginia","Christ;Thomam Hariot;Elisabeth Königin;H. Walter Raleigh Ritter;Reichard Greinuile"
AC11085779,"Franckfort am Mayn Anno;Teutsch;Floridam;Americæ","Dieterich;H. Oseam Halen;C. C. A. Vnd;Jacob le Moyne;H. Guorguesio;H. Ribald"
AC09625464,"Lüttich;Brasilien;Hessen;Homberg;Darinn Brasilia","Dieterich Bry;Ioannis Lerij;Johann Staden"
AC11085838,"Lüttich;Brasilien;Hessen;Homberg;Darinn Brasilia","Dieterich Bry;Ioannis Lerij;Johann Staden"
AC09697927,"Hessen;Franckfurt am Mayn;Spanien","Moritzen;Dieterich;Ioannis Benzonis von Meylandt"
AC10477539,"","Dieterich;Atabalibam;Benzo von Meylandt"
AC10477476,"","Dieterich von Bry;Vlrici Schmidts"
AC11092625,"Engellandt;Jar;Peru;Quito;Amapaia;Arromaia;Guiana","Avgvstinvm Cassiodorvm Reinivm;Iohan Havckens;Frantzen Draeck;Vnd;Frantzen Prettie;Thomas Candisch;Lorentz Keymis;Engellandt Leibs Guardi;Walthern Ralegh;Teutscher Meil;Macuieguarai"
AC11093167,"","Hans Jsrael;Hans Dietherich;Avgvstinvm Cassiodorvm;Eduart Lopez;Congo"
AC11093220,"Holchteutsch;Holland;Jar;Goa;China;Aphrica;Portugal","Hans Jsrael;Hans Dieterich;Jetzo;Jaren;Joan Hugo"
AC11093434,"Israel de Bry Gebrüder;Hochteutsch;Sumatra;Hollandt;Orient","Theodor vnd;Völcker;Hollandt;Joann Huygens;Indiae Orientalis"
AC05657137,"Jerusalem;Terrae Sanctae","Felix Fabri"
AC07689699,"China Japon","P. Petri Martonez"
AC05831402,"Baiatzeth vnd","Heinrich Müller;Jtem"
AC05700888,"","Jacob;Jetzundt;de Fresne;De la Nove Jn Frantzoesischer"
