Source,Target
Türckischen Hoff,Tauber
Türckischen Hoff,Königshofen
Türckischen Hoff,Ottomans
Augspurg,Jar
Tauber,Türckischen Hoff
Tauber,Königshofen
Tauber,Ottomans
Germanien,Ain Schen New Bůch
Germanien,Jar
Germanien,Genua
Jerusalem,Venedig
Jerusalem,Venedig Jerusalem
Jerusalem,Nürnberg
Jerusalem,Glaubenssachen
Jerusalem,Bergen Auwen
Jerusalem,Sinay Alexandria
Jerusalem,Ceremonien
Jerusalem,Terrae Sanctae
Aphrica,China
Aphrica,Jar
Aphrica,Goa
Aphrica,Holchteutsch
Aphrica,Portugal
Aphrica,Holland
Lüttich,Homberg
Lüttich,Hessen
Lüttich,Darinn Brasilia
Lüttich,Brasilien
Martio,Orientalischen Indien
Martio,Hochteutsche
Martio,Martio Alda
Martio,Orient
Martio,Oost Indien
Martio,Hochteutsch
Martio,Indien
Orientalischen Indien,Martio
Orientalischen Indien,Orient
Orientalischen Indien,Oost Indien
Orientalischen Indien,Indien
Teutsche Sprach,Teutsch
Teutsche Sprach,Rom
Teutsche Sprach,Portugal
Hochteutsche,Martio
Hochteutsche,Martio Alda
Hochteutsche,Oost Indien
Hochteutsche,Hochteutsch
Hochteutsche,Indien
Venedig,Jerusalem
Venedig,Venedig Jerusalem
Venedig,Nürnberg
Venedig,Aegypten
Venedig,Leipzig
Venedig,Sinay Alexandria
Venedig,Hierusalem
Venedig,Sinai Alcair Alexandria
Peru,Jar
Peru,Arromaia
Peru,Amapaia
Peru,Engellandt
Peru,Guiana
Peru,Engelland
Peru,Quito
Jndia,Amsterdam
Jndia,Vlm
Jndia,Jndias
Jndia,Hochteutsch
Jndia,Hollande
Jndia,Holland
Jndia,Indien
China,Aphrica
China,Hollandt
China,Jar
China,Texel
China,HochTeutsch
China,Obij
China,Goa
China,Cathay vnd China
China,Gilissy
China,Holchteutsch
China,gran Reyno de la China
China,Samatra
China,Niderländischer
China,Jndien
China,Teutsch
China,China Japon
China,Portugal
China,Holland
China,Virginia
Americe,Morenlandt
Americe,Rom
Ain Schen New Bůch,Germanien
Ain Schen New Bůch,Jar
Ain Schen New Bůch,Genua
Venedig Jerusalem,Jerusalem
Venedig Jerusalem,Venedig
Venedig Jerusalem,Nürnberg
Venedig Jerusalem,Sinay Alexandria
Nürnberg,Jerusalem
Nürnberg,Venedig
Nürnberg,Venedig Jerusalem
Nürnberg,Sinay Alexandria
Martio Alda,Martio
Martio Alda,Hochteutsche
Martio Alda,Oost Indien
Martio Alda,Hochteutsch
Martio Alda,Indien
Schweden,Jar
Schweden,Gothien
Schweden,Rom
Friaul,Jar
Friaul,Hochteütsche
Friaul,Temixtitan
Friaul,Herrn Herrn Ferdinanden Römischen
Friaul,Hispanien
Damascon,Würtzburg
Wilhelmen,Meissen
Wilhelmen,Düringen Marggraffen
Hollandt,China
Hollandt,Jar
Hollandt,Texel
Hollandt,Obij
Hollandt,Orient
Hollandt,Israel de Bry Gebrüder
Hollandt,Gilissy
Hollandt,Samatra
Hollandt,Jndien
Hollandt,Hochteutsch
Hollandt,Sumatra
Hollandt,Holland
Jar,Augspurg
Jar,Germanien
Jar,Aphrica
Jar,Peru
Jar,China
Jar,Ain Schen New Bůch
Jar,Schweden
Jar,Friaul
Jar,Hollandt
Jar,Nordwest
Jar,Arromaia
Jar,Amapaia
Jar,Texel
Jar,Hochteütsche
Jar,Obij
Jar,Goa
Jar,Cathay vnd China
Jar,Orient
Jar,Gilissy
Jar,Engellandt
Jar,Holchteutsch
Jar,Temixtitan
Jar,Guiana
Jar,Engelland
Jar,Gothien
Jar,Samatra
Jar,Niderländischer
Jar,Jndien
Jar,Christi
Jar,Rom
Jar,Quito
Jar,Herrn Herrn Ferdinanden Römischen
Jar,Portugal
Jar,Genua
Jar,Hispanien
Jar,Holland
Jar,Amelbeurn
Jar,Virginia
Glaubenssachen,Jerusalem
Glaubenssachen,Bergen Auwen
Glaubenssachen,Ceremonien
Nordwest,Jar
Nordwest,Engelland
Königshofen,Türckischen Hoff
Königshofen,Tauber
Königshofen,Ottomans
Arromaia,Peru
Arromaia,Jar
Arromaia,Amapaia
Arromaia,Engellandt
Arromaia,Guiana
Arromaia,Engelland
Arromaia,Quito
Amapaia,Peru
Amapaia,Jar
Amapaia,Arromaia
Amapaia,Engellandt
Amapaia,Guiana
Amapaia,Engelland
Amapaia,Quito
Texel,China
Texel,Hollandt
Texel,Jar
Texel,Obij
