Source,Target
Engellandt Leibs Guardi,Walthern Ralegh
Engellandt Leibs Guardi,Frantzen Draeck
Engellandt Leibs Guardi,Lorentz Keymis
Engellandt Leibs Guardi,Thomas Candisch
Engellandt Leibs Guardi,Vnd
Engellandt Leibs Guardi,Avgvstinvm Cassiodorvm Reinivm
Engellandt Leibs Guardi,Macuieguarai
Engellandt Leibs Guardi,Frantzen Prettie
Engellandt Leibs Guardi,Teutscher Meil
Engellandt Leibs Guardi,Avgvstinvm Cassiodorvm
Engellandt Leibs Guardi,Iohan Havckens
Juan González de Mendoza,Kurtze
Juan González de Mendoza,Johan
Juan González de Mendoza,cosas
Juan González de Mendoza,Bey
Juan González de Mendoza,Johann
Juan González de Mendoza,Johann Kellner
Juan González de Mendoza,Goldt
Juan González de Mendoza,Matthaevm Dresservm D.
Kurtze,Juan González de Mendoza
Kurtze,Constantzischen Rath
Kurtze,Portugalesischer
Kurtze,Johan
Kurtze,Ioannem Georgium
Kurtze,bey Pleymeuten Cartsag
Kurtze,Franciscus Dracus
Kurtze,cosas
Kurtze,S. Domingo
Kurtze,Iesv
Kurtze,Kurtzer
Kurtze,Vnd
Kurtze,Bey
Kurtze,Franciscus Dracus Redivivvs
Kurtze,Jnsul Cuba
Kurtze,Kurtze Verzeichnuß Vnd
Kurtze,Johann
Kurtze,Johann Kellner
Kurtze,Goldt
Kurtze,Ioannem Petrum Maffeium
Kurtze,Rath
Jaren,Jetzo
Jaren,Hans Jsrael
Jaren,Joan Hugo
Jaren,Dieterich
Jaren,Hans Dieterich
Policey Gerichtlichem Proceß,Maximilian
Policey Gerichtlichem Proceß,Elendt Jamer
Policey Gerichtlichem Proceß,Noth
Policey Gerichtlichem Proceß,Schmächlichem Endt
Policey Gerichtlichem Proceß,V. Ferdinandt
Policey Gerichtlichem Proceß,Türckischen Keysers
Policey Gerichtlichem Proceß,Rath
Policey Gerichtlichem Proceß,Mahomeths
Brunst,Johan
Brunst,Chronic
Brunst,Francisco Álvares
Brunst,João
Brunst,Johann
Brunst,Völcker
Brunst,Chronicen
Brunst,Johanns
Benedikt Kuripešić,Kayser Soleyman
Benedikt Kuripešić,May
Benedikt Kuripešić,Kayser
Dieterich Bry,Johan
Dieterich Bry,Ioannis Lerij
Dieterich Bry,Dieterich
Dieterich Bry,Johann Staden
Dieterich Bry,Johann
Constantzischen Rath,Kurtze
Constantzischen Rath,Portugalesischer
Constantzischen Rath,Ioannem Georgium
Constantzischen Rath,Iesv
Constantzischen Rath,Vnd
Constantzischen Rath,Kurtze Verzeichnuß Vnd
Constantzischen Rath,Ioannem Petrum Maffeium
Constantzischen Rath,Rath
Hispanischer Sprach von Cortesio,Darzů
Hispanischer Sprach von Cortesio,Ferdinandi Cortesii
Hispanischer Sprach von Cortesio,Peter Sauorgnan
Hispanischer Sprach von Cortesio,Tittel
Hispanischer Sprach von Cortesio,Xysto Betuleio
Hispanischer Sprach von Cortesio,Carolvm
Hispanischer Sprach von Cortesio,Carlos V.
Hispanischer Sprach von Cortesio,Andrea Diethero
Hispanischer Sprach von Cortesio,Cartas de relación de la conquista de la Nueva España
Hispanischer Sprach von Cortesio,Zwo
Portugalesischer,Kurtze
Portugalesischer,Constantzischen Rath
Portugalesischer,Ioannem Georgium
Portugalesischer,Iesv
Portugalesischer,Vnd
Portugalesischer,Kurtze Verzeichnuß Vnd
Portugalesischer,Ioannem Petrum Maffeium
Portugalesischer,Rath
Dauid Vngnadn Freyherrn,M. Franciscvm Omichivm
Dauid Vngnadn Freyherrn,Darinn
Dauid Vngnadn Freyherrn,S. G.
Weyl,Jacob
Weyl,Johan
Weyl,Vnd
Weyl,Johann
Weyl,Johann Jacoben
Weyl,Olavm Magnvm
Weyl,Olaj Magni
Dabey,Albrechten Hertzogen
Dabey,Hansen von Mergenthal
Dabey,Jetzund
Elisabeth Königin,H. Walter Raleigh Ritter
Elisabeth Königin,Christ
Elisabeth Königin,Reichard Greinuile
Elisabeth Königin,Thomam Hariot
Hansen Lewenklaw,Jar Christi
Hansen Lewenklaw,Chronic
Hansen Lewenklaw,Pandectes Türckischer
Hansen Lewenklaw,Christ
Hansen Lewenklaw,Osmanischen Stammens
Hansen Lewenklaw,Christi
Hansen Lewenklaw,Osman Chan
Hansen Lewenklaw,Jeronymus Beck von Leopoldstorff
Hansen Lewenklaw,Tugendt Vntugendt
Hansen Lewenklaw,Constantinopol
Hansen Lewenklaw,Suleiman Chan vnd
Hansen Lewenklaw,jar Christi
Maximilian,Policey Gerichtlichem Proceß
Maximilian,Elendt Jamer
Maximilian,Noth
Maximilian,Schmächlichem Endt
Maximilian,V. Ferdinandt
Maximilian,Türckischen Keysers
Maximilian,Rath
Maximilian,Mahomeths
Jacob,Weyl
Jacob,H. Ribald
Jacob,Johan
Jacob,H. Oseam Halen
Jacob,Vnd
Jacob,De la Nove Jn Frantzoesischer
Jacob,Dieterich
Jacob,H. Guorguesio
Jacob,Johann
Jacob,Johann Jacoben
Jacob,Jetzundt
Jacob,Olavm Magnvm
Jacob,Jacob le Moyne
Jacob,de Fresne
Jacob,Jetzund
Jacob,C. C. A. Vnd
Jacob,Olaj Magni
Levinvm Hvlsivm,Schmidel von Straubing von Anno
Levinvm Hvlsivm,Schmidel
Menschfresser Leuthen,Dryandri
Menschfresser Leuthen,Dietz Ziegenhain
Menschfresser Leuthen,Hans Staden
Menschfresser Leuthen,H. Philipsen Landtgraff
Menschfresser Leuthen,Medici
Menschfresser Leuthen,Eychman Ordinarij Professoris Medici
Menschfresser Leuthen,Dedicirt
Menschfresser Leuthen,D. Joh
H. Walter Raleigh Ritter,Elisabeth Königin
H. Walter Raleigh Ritter,Christ
H. Walter Raleigh Ritter,Reichard Greinuile
H. Walter Raleigh Ritter,Thomam Hariot
Conrad Lew,Hollandia
Conrad Lew,Mauritius
Jar Christi,Hansen Lewenklaw
Jar Christi,Chronic
Jar Christi,Christ
Jar Christi,Osmanischen Stammens
Jar Christi,Christi
Jar Christi,Osman Chan
Jar Christi,Jeronymus Beck von Leopoldstorff
Jar Christi,Tugendt Vntugendt
Jar Christi,Constantinopol
Jar Christi,Suleiman Chan vnd
Walthern Ralegh,Engellandt Leibs Guardi
Walthern Ralegh,Frantzen Draeck
Walthern Ralegh,Lorentz Keymis
Walthern Ralegh,Thomas Candisch
Walthern Ralegh,Vnd
Walthern Ralegh,Avgvstinvm Cassiodorvm Reinivm
Walthern Ralegh,Macuieguarai
Walthern Ralegh,Frantzen Prettie
Walthern Ralegh,Teutscher Meil
Walthern Ralegh,Avgvstinvm Cassiodorvm
Walthern Ralegh,Iohan Havckens
Darzů,Hispanischer Sprach von Cortesio
Darzů,Ferdinandi Cortesii
Darzů,Peter Sauorgnan
Darzů,Tittel
Darzů,Xysto Betuleio
Darzů,Carolvm
Darzů,Carlos V.
Darzů,Andrea Diethero
Darzů,Cartas de relación de la conquista de la Nueva España
Darzů,Zwo
Barbarossa,Christ
Barbarossa,Julij
Barbarossa,Ferdinando
Barbarossa,Künigclich Maiestat jres
Barbarossa,Karl V.
Barbarossa,Christo
Barbarossa,Christoph Scheurl
Dieterich von Bry,Vlrici Schmidts
Dieterich von Bry,Dieterich
H. Ribald,Jacob
H. Ribald,H. Oseam Halen
H. Ribald,Vnd
H. Ribald,Dieterich
H. Ribald,H. Guorguesio
H. Ribald,Jacob le Moyne
H. Ribald,C. C. A. Vnd
Johan,Juan González de Mendoza
Johan,Kurtze
Johan,Brunst
Johan,Dieterich Bry
Johan,Weyl
Johan,Jacob
Johan,Chronic
Johan,Stephan von Gumpenberg Friderich von Wolffskel vnnd Hans von Rameraw
Johan,Burger
Johan,cosas
Johan,Francisco Álvares
Johan,Sanct Paulus
Johan,Kurtzer
Johan,Vnd
Johan,Bey
Johan,Ioannis Lerij
Johan,João
Johan,Dieterich
Johan,Johann Staden
Johan,Johann
Johan,Völcker
Johan,Johann Jacoben
Johan,Johann Eyselsaner
Johan,Johann Kellner
Johan,Goldt
Johan,Olavm Magnvm
Johan,Chronicen
Johan,Johan Thůcher
Johan,Matthaevm Dresservm D.
Johan,Hans Strigel
Johan,Frid
Johan,Olaj Magni
Johan,Johanns
Keyser Ferdinandi,Augerius Gislenius Busbeck
Keyser Ferdinandi,Soleiman
Keyser Ferdinandi,Rath
Keyser Ferdinandi,Carle Graff
Ferdinandi Cortesii,Hispanischer Sprach von Cortesio
Ferdinandi Cortesii,Darzů
Ferdinandi Cortesii,Peter Sauorgnan
Ferdinandi Cortesii,Tittel
Ferdinandi Cortesii,Xysto Betuleio
Ferdinandi Cortesii,Carolvm
Ferdinandi Cortesii,Carlos V.
Ferdinandi Cortesii,Andrea Diethero
Ferdinandi Cortesii,Cartas de relación de la conquista de la Nueva España
Ferdinandi Cortesii,Zwo
Frantzen Draeck,Engellandt Leibs Guardi
Frantzen Draeck,Walthern Ralegh
Frantzen Draeck,Lorentz Keymis
Frantzen Draeck,Thomas Candisch
Frantzen Draeck,Vnd
Frantzen Draeck,Avgvstinvm Cassiodorvm Reinivm
Frantzen Draeck,Macuieguarai
Frantzen Draeck,Frantzen Prettie
Frantzen Draeck,Teutscher Meil
Frantzen Draeck,Avgvstinvm Cassiodorvm
Frantzen Draeck,Iohan Havckens
Ioannem Georgium,Kurtze
Ioannem Georgium,Constantzischen Rath
Ioannem Georgium,Portugalesischer
Ioannem Georgium,Iesv
Ioannem Georgium,Vnd
Ioannem Georgium,Kurtze Verzeichnuß Vnd
Ioannem Georgium,Ioannem Petrum Maffeium
Ioannem Georgium,Rath
Chronic,Brunst
Chronic,Hansen Lewenklaw
Chronic,Jar Christi
Chronic,Johan
Chronic,Pandectes Türckischer
Chronic,Christ
Chronic,Osmanischen Stammens
Chronic,João
Chronic,Johann
Chronic,Völcker
Chronic,Christi
Chronic,Osman Chan
Chronic,Jeronymus Beck von Leopoldstorff
Chronic,Tugendt Vntugendt
Chronic,Constantinopol
Chronic,Chronicen
Chronic,Suleiman Chan vnd
Chronic,jar Christi
Chronic,Johanns
Peter Sauorgnan,Hispanischer Sprach von Cortesio
Peter Sauorgnan,Darzů
Peter Sauorgnan,Ferdinandi Cortesii
Peter Sauorgnan,Tittel
Peter Sauorgnan,Xysto Betuleio
