Systemnummer,Barcode,Volltext,Verlagsort normiert ; GND-ID,Verleger normiert ; GND-ID,Drucker ; GND-ID,Erscheinungsjahr,Marker,Werktitel,Haupttitel ; Titelzusatz ; Verantwortlichkeitsangabe
AC07530148,Z103507504,http://data.onb.ac.at/ABO/%2BZ103507504,Ingolstadt; (DE-588)4026991-7,Officina Typographica Ederiana; (DE-588)1044522364,"Angermaier, Elisabeth; (DE-588)118503170",1617,TravelogueD17 Asien,Historia del regno del Voxu del Giapone,"Relation Unnd gründtlicher Bericht von deß Königreichs Voxu in Japonischen Keyserthumb Gottseliger Bekehrung/ vnnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den Fünfften, vnd an die Cathol: May: Philip den Dritten König in Hispania/ etc. Anno M.DC.XV.; Durch R.P.F. Ludouicum Sotelum S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornen Don: Rocuyemon Faxecura deß Königlichen Geblüts/ einen hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset/ von dem Edlen vnd Hochgelehrten Scipione Amato Romano V.I.D. Als Interprete vnd Reyßgeferten dieser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelium D. Obbesagtes Franciscaner Ordens der Strengen Observantz/ vnd dessen Convents S. Hieronimi zu Wienn in Oesterreich/ Archigymnasij sacræ Moralis Theologiæ Professorem"
AC05928802,Z103507401,http://data.onb.ac.at/ABO/%2BZ103507401,Ingolstadt; (DE-588)4026991-7,"Angermaier, Elisabeth; (DE-588)118503170","Angermaier, Elisabeth; (DE-588)118503170",1617,TravelogueD17 Asien,Historia del regno del Voxu del Giapone,"Relation Vnd gründtlicher Bericht von deß Königreichs Voxu im Japonischen Keyserthumb Gottseliger Bekehrung/ vnd dessentwegen außgefertigter Ambasciada an Päbst: Heil: gen Rom Paulum den fünfften/ vnd an die Cathol: May: Philip: den dritten König in Hispania/ &c. Anno 1615.; Durch R.P.F. Lvdovicum Sotelvm S. Francisci Ordens der Discaltzen/ oder Parfüsser: Vnd den beygeordneten Durchleuchtigen/ vnd Hochgebornene Don: Rocuyemon Faxecura deß königlichen Geblüts/ einem hochedlen Ritter; Anfangs in Jtalienischer Sprach verfasset, von/ dem edlen und hochgelehrten Scipione Amato Romano V.I.D. als Interprete vnd Reißgefehrten diser Ambasciada. An jetzo aber zu Teutsch verwendet durch R.P.F. Thobiam Hendschelivm D. obbesagtes Francisc. Ordens der Strengern Obseruantz/ vnd dessen Conuents S. Hieron. zu Wien in Oesterreich Gymnasij sacræ Moralis Theologiæ Professorem"
AC09654886,Z177010100,http://data.onb.ac.at/ABO/%2BZ177010100,Zürich; (DE-588)4068038-1,"Ammann, Hans Jacob; (DE-588)120156792","Hardmeyer, Johann; (DE-588)1037523652",1618,TravelogueD17 Europa Asien Afrika; TravelogueD17 Orient,Reiß In das Gelobte Land; 1618,Reiß Jn das Gelobte Land: Von Wien auß Oesterreich/ durch Vngariam/ Serviam/ Bulgariam vnd Thraciam auff Constantinopel:; Ferner Durch Natoliam/ Cappadociam/ Ciliciam/ Syriam vnd Judæam/ auff Jerusalem: Von dannen Durch die Wüste vnd Aegypten gehn Alexandriam/ folgends vber dz Mitlendische Meer in Siciliam/ vnd durch Jtaliam auff Zürich in die Eydgnoschafft: Jn dreyen Theylen/ sampt deren Landen vnd Stetten gelegenheiten/ Einwohneren/ Policeyen/ Sitten vnd Gebreuchen: auch anderen vorgefallnen denckwürdigen sachen/; kurtz/ doch eigentlich beschriben Durch Johann Jacob Amman/ Burger vnd bestellten Wundartzt zu Zürich
AC09656610,Z159574205,http://data.onb.ac.at/ABO/%2BZ159574205,Schleswig; (DE-588)4052689-6,"Holwein, Johann; (DE-588)139925805","Holwein, Johann; (DE-588)139925805",1669,TravelogueD17 Orient; TravelogueD17 Afrika Asien,Orientalische Reise-Beschreibunge; 1669,"Orientalische Reise=Beschreibunge Jürgen Andersen aus Schleßwig der An. Christi 1644. außgezogen und 1650. wieder kommen; Und Volquard Jversen aus Holstein so An. 1655. außgezogen und 1668. wieder angelanget. Seynd beyde respective durch OstJndien/ Sina/ Tartarien/ Persien/ Türckeyen/ Arabien und Palestinam gezogen: und haben zu Wasser und Land viel merckliche Dinge gesehen und erfahren; Aus deren Bericht mit lust und auch verwunderung zu vernehmen die Beschaffenheit und heutiger Zustand der Jnsulen/ festen Länder/ Städte/ der Einwohner Leben/ Sitten und Lehre. Wie auch Von ihren erlittenen erbärmlichen Schiffbrüchen $c Heraus gegeben durch Adam Olearium, der regierenden Fürstl. Durchl. zu Schleßwig/ Holstein Bibliothecarium und Antiquarium. Mit dessen Notis, und etlicher Orter Erklärungen: Sampt vielen Kupfferstücken"
AC15336575,,,Leipzig; (DE-588)4035206-7,"Fritsch, Thomas; (DE-588)11682543X","Fritsch, Thomas; (DE-588)11682543X",1696,TravelogueD17 Europa,Relation du voyage d'Espagne,<<Der Gräfin D'Aunoy>> Beschreibung ihrer Reise nach Spanien
AC15336562,Z181287203,http://data.onb.ac.at/ABO/%2BZ181287203,Leipzig; (DE-588)4035206-7,"Fritsch, Thomas; (DE-588)11682543X","Fritsch, Thomas; (DE-588)11682543X",1696,TravelogueD17 Europa,Relation du voyage d'Espagne,<<Der Gräfin D'Aunoy>> Beschreibung ihrer Reise nach Spanien
AC09676508,Z178376102;Z162416308,http://data.onb.ac.at/ABO/%2BZ178376102;http://data.onb.ac.at/ABO/%2BZ162416308,Amsterdam; (DE-588)4001783-7,"Waesberghe, Joannes Janssonius <<van>>;;Someren, Joannes <<van>>; (DE-588)120606372;;(DE-588)1037511786","Velsen, Jacob <<van>>; (DE-588)1037525655",1672,TravelogueD17 Asien,Naauwkeurige Beschryvinge van Malabar en Choromandel; 1672,"Wahrhaftige Ausführliche Beschreibung Der Berühmten Ost=Jndischen Kusten Malabar Und Coromandel, Als auch der Jnsel Zeylon:; Samt dero angräntzenden und untergehörigen Reichen/ Fürstenthümen/ Ländern/ Städten/ vornehmsten Hafen/ Gebäuden/ Pagoden/ Gewächsen/ Thieren; der Einwohner Gestalt/ Sitten/ Kleidertracht/ Haushaltung/ Ceremonien: So wol auch der merkwürdigsten Kriegshändel/ Verlägerungen/ Feld= und Seeschlachten/ sonderlich zwischen den Portugesen und Holländern/ Handel= und Kaufmannschaften: Durchgehends verzieret mit neuen Landkahrten und Abbildungen der vornehmsten Städte/ Festungen/ Trachten/ Thiere/ Früchte/ etc. so in India selbst nach dem Leben gezeichnet/ und folgends mit Fleiß zu Kupfer gebracht: Benebst einer Umständlichen und Gründlichen Entdeckung der Abgötterey der Ost-Jndianischen Heyden, Malabaren, Benjanen, Gentiven, Bramines &c. So wol aus ihrem eigenen mit anhero gebrachten Vedam oder Gesetzbuch/ und urkündlichen Handgeschriften/ als Gespräch und Beywohnung ihrer vornehmsten Priester und Schriftgelehrten/ nachgespüret/ erforschet/ und widerleget: zusamt den Abbildungen ihrer Götzen nach dero eigenen Bildern gezeichnet und fürgestellet; Alles getreulich verfasset und ans Liecht gebracht Durch Philippum Baldæum, weiland Diener des Göttl. Worts auf Zeylon. Anitzo aber aus dem Niederländischen ins Hochteutsche mit Fleiß übergesetzt/ und mit einem vollständigen Register versehen"
AC09692458,Z159579203,http://data.onb.ac.at/ABO/%2BZ159579203,Jena; Breslau; (DE-588)4028557-1; (DE-588)4008216-7,"Spaltholz, Urban; (DE-588)1037521420","Spaltholz, Urban; (DE-588)1037521420",1668,TravelogueD17 Orient; TravelogueD17 Asien,,"Diarium Oder Tage=Buch/ über Dasjenige/ So sich Zeit einer neun=jährigen Reise zu Wasser und Lande/ meistentheils in Dienst der vereinigten geoctroyrten Niederländischen Ost=Jndianischen Compagnie, besonders in denselbigen Ländern täglich begeben und zugetragen; Worbey der Jnnwohner Glauben/ Leben/ Sitten und Kleidung/ so mit Augen gesehen/ fleißig aufgeschrieben/ abgerissen und mit Kupffern gezieret/ zur besseren Nachricht verzeichnet worden; von Johann von der Behr/ Not. Publ. Caes."
AC09695833,Z164594706,http://data.onb.ac.at/ABO/%2BZ164594706,Frankfurt am Main; (DE-588)4018118-2,"Wagner, Matthäus; (DE-588)138015031",,1687,TravelogueD17 Asien Europa; TravelogueD17 Orient,"Relatione del viaggio fatto à Constantinopoli, e ritorno in Germania, del Conte Alberto Caprara; 1684","Außführliche Reisz=Beschreibung/ Von Wien nach Constantinopel/ und wieder zurück in Teutschland/; auch was sich Merckwürdiges dabey zugetragen:  Deß Hoch=Gebohrnen Grafen und Herrn/ Herrn Albrecht Caprara/ etc. etc. Welche Er als Jhro Römisch=Keyserl. Maj. Extraordinari-Gesandter und Gevollmächtigter/ Den Stillstand mit der Ottomannis. Pforten zu verlängern/ verrichtet.; Beschrieben von Iohanne Benaglia, Gesandtschaffts=Secretario. Anjetzo auf vielfältiges Begehren/ auß dem Jtalianischen/ getreulich in die Hoch=Teutsche Sprache übersetzt"
AC09623298,Z163301409,http://data.onb.ac.at/ABO/%2BZ163301409,Oppenheim; Frankfurt am Main; (DE-588)4043637-8; (DE-588)4018118-2,"Bry, Johann Theodor <<de>>; (DE-588)11851640X","Galler, Hieronymus; (DE-588)136199127",1619,TravelogueD17 Südamerika,<<La>> historia del Mondo Nuovo; (DE-588)4675237-7,Das sechste Theil Americæ oder Der Historien Hieron. Benzo von Meylandt/ Das dritte Buch : Darinnen erzehlet wirt/ wie die Spanier die Goldreiche Landschafften deß Peruanischen Königreichs eingenommen/ den König Atabalibam gefangen und getödet. Auch wie sie endlich sich selbst vntereinander auffgerieben haben. Sampt einem kurzen und angehengten Tractätlein von den glückhafftigen Jnseln. Mit nützlichen vnd nohtwendigen Erklärungen auff ein jedes Capitel gemehret. Auch einer Landtaffel deß Peruanischen Königreichs. Alles mit schönen Kupfferstichen vorgebildet vnd an Tag geben Durch Dieterich von Bry/ Kunststecher vnd Bürger zu Franckfurt
