label
Nürnberg; (DE-588)4042742-0
Frankfurt am Main; (DE-588)4018118-2
Dillingen a.d. Donau; (DE-588)4012328-5
Basel; (DE-588)4004617-5
Augsburg; (DE-588)4003614-5
Köln; (DE-588)4031483-2
Freiburg im Üechtland; (DE-588)4071444-5
Wien; (DE-588)4066009-6
Zürich; (DE-588)4068038-1
Zerbst/Anhalt; (DE-588)4067663-8
Leipzig; (DE-588)4035206-7
Straßburg; (DE-588)4057878-1
Güstrow; (DE-588)4022477-6
Lauingen (Donau); (DE-588)4034738-2
Görlitz; (DE-588)4021441-2
Marburg; (DE-588)4037446-4
Ingolstadt; (DE-588)4026991-7
Antwerpen; (DE-588)4002364-3
